DATE,GEOGRAPHY_LEVEL,GEOGRAPHY_NAME,FIPS,DEMOGRAPHIC_GROUP,DEMOGRAPHIC_CATEGORY,PARTIALLY_OR_FULLY_VACCINATED_PERSONS,FULLY_VACCINATED_PERSONS,POPULATION,PARTIALLY_OF_FULLY_VACCINATED_PERCENT,FULLY_VACCINATED_PERCENT,TOTAL_DOSES_ADMINISTERED,TOTAL_DOSES_DISTRIBUTED,SOURCEINFO,USAFACTS_INGESTION_DATE
"2021-05-09","State","Arizona","04","Total","Total","3077983.00000","2297078.00000","7278717.00000","0.42287438844","0.31558831041","5372605.00000","7081205.00000","CDC State and National Vaccination Data","2021-05-10T09:25:23.931Z"
"2021-04-30","State","Arizona","04","Total","Total","2960823.00000","2106896.00000","7278717.00000","0.40677814510","0.28945980452","5070403.00000","6610725.00000","CDC State and National Vaccination Data","2021-05-01T13:25:22.318Z"
"2021-03-30","State","Arizona","04","Total","Total","2125696.00000","1220787.00000","7278717.00000","0.29204267730","0.16772008034","3399399.00000","4153635.00000","CDC State and National Vaccination Data","2021-03-31T09:25:13.761Z"
"2021-03-21","State","Arizona","04","Total","Total","1804760.00000","1029376.00000","7278717.00000","0.24795029124","0.14142272601","2893024.00000","3461245.00000","CDC State and National Vaccination Data","2021-03-22T09:26:34.789Z"
"2021-02-01","State","Arizona","04","Total","Total","524413.00000","95671.00000","7278717.00000","0.07204745012","0.01314393732","620608.00000","1013375.00000","CDC State and National Vaccination Data","2021-02-02T12:25:34.606Z"
"2021-05-19","State","Florida","12","Total","Total","9934559.00000","7765264.00000","21477737.00000","0.46255147831","0.36154945002","17592926.00000","22668395.00000","CDC State and National Vaccination Data","2021-05-20T09:25:24.524Z"
"2021-05-10","State","Florida","12","Total","Total","9522200.00000","7129654.00000","21477737.00000","0.44335210921","0.33195555007","16598829.00000","22007995.00000","CDC State and National Vaccination Data","2021-05-11T09:25:28.856Z"
"2021-04-17","State","Florida","12","Total","Total","8008113.00000","5051844.00000","21477737.00000","0.37285646062","0.23521304875","13029551.00000","17807745.00000","CDC State and National Vaccination Data","2021-04-18T09:25:15.397Z"
"2021-03-19","State","Florida","12","Total","Total","4760399.00000","2691206.00000","21477737.00000","0.22164341616","0.12530212098","7684142.00000","10646775.00000","CDC State and National Vaccination Data","2021-03-20T09:25:36.418Z"
"2021-03-18","State","Florida","12","Total","Total","4652763.00000","2630843.00000","21477737.00000","0.21663190121","0.12249162936","7522691.00000","10234515.00000","CDC State and National Vaccination Data","2021-03-19T09:26:17.278Z"
"2021-02-18","State","Florida","12","Total","Total","2562863.00000","1231696.00000","21477737.00000","0.11932649143","0.05734756879","3819224.00000","4700950.00000","CDC State and National Vaccination Data","2021-02-19T12:25:26.212Z"
"2021-01-23","State","Florida","12","Total","Total","1333116.00000","152209.00000","21477737.00000","0.06206966777","0.00708682670","1489003.00000","2908275.00000","CDC State and National Vaccination Data","2021-02-01T12:24:07.927Z"
"2021-05-30","State","Indiana","18","Total","Total","2810952.00000","2384280.00000","6732219.00000","0.41753721915","0.35415960176","5103220.00000","6437880.00000","CDC State and National Vaccination Data","2021-06-01T09:25:44.928Z"
"2021-04-05","State","Indiana","18","Total","Total","1863295.00000","1250217.00000","6732219.00000","0.27677278472","0.18570652559","3048583.00000","3640170.00000","CDC State and National Vaccination Data","2021-04-06T09:27:14.449Z"
"2021-04-02","State","Indiana","18","Total","Total","1771372.00000","1174624.00000","6732219.00000","0.26311859433","0.17447798415","2903944.00000","3616140.00000","CDC State and National Vaccination Data","2021-04-03T09:26:31.177Z"
"2021-03-28","State","Indiana","18","Total","Total","1651837.00000","1082231.00000","6732219.00000","0.24536293308","0.16075398023","2700392.00000","3328110.00000","CDC State and National Vaccination Data","2021-03-29T09:26:21.664Z"
"2021-03-26","State","Indiana","18","Total","Total","1589654.00000","1036624.00000","6732219.00000","0.23612630546","0.15397954226","2598661.00000","3217220.00000","CDC State and National Vaccination Data","2021-03-27T09:25:23.431Z"
"2021-03-24","State","Indiana","18","Total","Total","1522442.00000","989857.00000","6732219.00000","0.22614267302","0.14703279855","2488889.00000","3161270.00000","CDC State and National Vaccination Data","2021-03-25T09:27:19.575Z"
"2021-02-26","State","Indiana","18","Total","Total","966033.00000","523070.00000","6732219.00000","0.14349399507","0.07769652176","1505040.00000","1832150.00000","CDC State and National Vaccination Data","2021-02-27T08:25:21.188Z"
"2021-06-17","State","Kentucky","21","Total","Total","2162380.00000","1857257.00000","4467673.00000","0.48400587957","0.41571014709","3866548.00000","4396025.00000","CDC State and National Vaccination Data","2021-06-18T09:25:15.964Z"
"2021-05-12","State","Kentucky","21","Total","Total","1915189.00000","1569598.00000","4467673.00000","0.42867707641","0.35132338468","3358806.00000","4112165.00000","CDC State and National Vaccination Data","2021-05-13T13:25:17.385Z"
"2021-03-01","State","Kentucky","21","Total","Total","691600.00000","351189.00000","4467673.00000","0.15480094447","0.07860669301","1046835.00000","1317325.00000","CDC State and National Vaccination Data","2021-03-02T08:25:28.284Z"
"2021-02-01","State","Kentucky","21","Total","Total","347384.00000","66077.00000","4467673.00000","0.07775501922","0.01479002604","415545.00000","650150.00000","CDC State and National Vaccination Data","2021-02-02T12:25:34.606Z"
"2021-06-01","State","Massachusetts","25","Total","Total","4587271.00000","3711007.00000","6892503.00000","0.66554501318","0.53841209790","8067293.00000","9309200.00000","CDC State and National Vaccination Data","2021-06-02T09:25:19.670Z"
"2021-05-18","State","Massachusetts","25","Total","Total","4328468.00000","3259602.00000","6892503.00000","0.62799653479","0.47291992474","7372714.00000","8651950.00000","CDC State and National Vaccination Data","2021-05-19T09:25:11.206Z"
"2021-05-04","State","Massachusetts","25","Total","Total","3977645.00000","2655965.00000","6892503.00000","0.57709731864","0.38534114530","6438914.00000","7792680.00000","CDC State and National Vaccination Data","2021-05-05T09:25:20.283Z"
"2021-01-29","State","Massachusetts","25","Total","Total","422803.00000","96373.00000","6892503.00000","0.06134244700","0.01398229352","520504.00000","1057000.00000","CDC State and National Vaccination Data","2021-01-30T12:25:31.742Z"
"2021-04-08","State","Pennsylvania","42","Total","Total","4552690.00000","2479698.00000","12801989.00000","0.35562364567","0.19369630766","6842553.00000","9108805.00000","CDC State and National Vaccination Data","2021-04-09T13:27:22.129Z"
"2021-03-27","State","Pennsylvania","42","Total","Total","3842037.00000","1954462.00000","12801989.00000","0.30011250596","0.15266862048","5670930.00000","7164385.00000","CDC State and National Vaccination Data","2021-03-28T09:25:42.542Z"
"2021-02-04","State","Arizona","04","Total","Total","573845.00000","111645.00000","7278717.00000","0.07883875689","0.01533855486","686116.00000","1185700.00000","CDC State and National Vaccination Data","2021-02-05T12:25:17.975Z"
"2021-02-03","State","Indiana","18","Total","Total","517147.00000","120352.00000","6732219.00000","0.07681672269","0.01787701796","637745.00000","1106550.00000","CDC State and National Vaccination Data","2021-02-04T12:25:18.809Z"
"2021-06-21","State","Kentucky","21","Total","Total","2180111.00000","1885399.00000","4467673.00000","0.48797461229","0.42200917569","3910764.00000","4411665.00000","CDC State and National Vaccination Data","2021-06-22T13:25:23.468Z"
"2021-06-10","State","Kentucky","21","Total","Total","2123250.00000","1776089.00000","4467673.00000","0.47524740508","0.39754229998","3751031.00000","4375825.00000","CDC State and National Vaccination Data","2021-06-11T13:25:22.585Z"
"2021-05-24","State","Kentucky","21","Total","Total","2024098.00000","1676350.00000","4467673.00000","0.45305419622","0.37521770282","3562321.00000","4254525.00000","CDC State and National Vaccination Data","2021-05-25T09:25:11.773Z"
"2021-04-25","State","Kentucky","21","Total","Total","1796865.00000","1355086.00000","4467673.00000","0.40219259556","0.30330912759","3039150.00000","3747885.00000","CDC State and National Vaccination Data","2021-04-26T09:25:23.391Z"
"2021-04-06","State","Kentucky","21","Total","Total","1497649.00000","906780.00000","4467673.00000","0.33521902789","0.20296472011","2333781.00000","2955035.00000","CDC State and National Vaccination Data","2021-04-07T09:26:43.698Z"
"2021-01-23","State","Kentucky","21","Total","Total","243620.00000","25566.00000","4467673.00000","0.05452950563","0.00572244209","270960.00000","471000.00000","CDC State and National Vaccination Data","2021-02-01T12:24:15.089Z"
"2021-06-01","State","Arizona","04","Total","Total","3376964.00000","2628096.00000","7278717.00000","0.46395044621","0.36106583070","5976666.00000","7807315.00000","CDC State and National Vaccination Data","2021-06-02T09:25:19.670Z"
"2021-05-17","State","Kentucky","21","Total","Total","1950084.00000","1620902.00000","4467673.00000","0.43648763014","0.36280676764","3440394.00000","4173955.00000","CDC State and National Vaccination Data","2021-05-18T09:25:22.041Z"
"2021-05-03","State","Kentucky","21","Total","Total","1853204.00000","1451815.00000","4467673.00000","0.41480296342","0.32495999595","3190060.00000","3979265.00000","CDC State and National Vaccination Data","2021-05-04T13:25:14.281Z"
"2021-05-22","State","Massachusetts","25","Total","Total","4434625.00000","3430364.00000","6892503.00000","0.64339834165","0.49769495929","7643514.00000","8968160.00000","CDC State and National Vaccination Data","2021-05-23T09:25:22.233Z"
"2021-04-20","State","Massachusetts","25","Total","Total","3399207.00000","2079975.00000","6892503.00000","0.49317454051","0.30177353568","5293380.00000","6219300.00000","CDC State and National Vaccination Data","2021-04-21T09:25:29.727Z"
"2021-04-01","State","Massachusetts","25","Total","Total","2404819.00000","1341408.00000","6892503.00000","0.34890358408","0.19461841366","3685186.00000","4396850.00000","CDC State and National Vaccination Data","2021-04-02T09:26:52.096Z"
"2021-02-13","State","Pennsylvania","42","Total","Total","1269266.00000","403898.00000","12801989.00000","0.09914599989","0.03154962873","1678229.00000","2682600.00000","CDC State and National Vaccination Data","2021-02-14T08:25:17.147Z"
"2021-04-30","State","Kentucky","21","Total","Total","1834755.00000","1420964.00000","4467673.00000","0.41067352064","0.31805461143","3142500.00000","3930655.00000","CDC State and National Vaccination Data","2021-05-01T13:25:22.318Z"
"2021-04-15","State","Kentucky","21","Total","Total","1677218.00000","1141656.00000","4467673.00000","0.37541198740","0.25553705475","2704303.00000","3327845.00000","CDC State and National Vaccination Data","2021-04-16T09:25:26.588Z"
"2021-03-03","State","Arizona","04","Total","Total","1308334.00000","613681.00000","7278717.00000","0.17974788689","0.08431169944","1930999.00000","2392275.00000","CDC State and National Vaccination Data","2021-03-04T08:25:36.507Z"
"2021-06-17","State","Massachusetts","25","Total","Total","4763233.00000","4072441.00000","6892503.00000","0.69107449065","0.59085081283","8588503.00000","9591690.00000","CDC State and National Vaccination Data","2021-06-18T09:25:15.964Z"
"2021-05-08","State","Massachusetts","25","Total","Total","4115668.00000","2869733.00000","6892503.00000","0.59712240967","0.41635571287","6785409.00000","8068900.00000","CDC State and National Vaccination Data","2021-05-09T09:25:14.746Z"
"2021-04-19","State","Massachusetts","25","Total","Total","3368264.00000","2058306.00000","6892503.00000","0.48868516996","0.29862968504","5242290.00000","5967370.00000","CDC State and National Vaccination Data","2021-04-20T13:25:13.813Z"
"2021-04-14","State","Massachusetts","25","Total","Total","3124643.00000","1849210.00000","6892503.00000","0.45333937468","0.26829295540","4800301.00000","5610090.00000","CDC State and National Vaccination Data","2021-04-15T21:25:36.929Z"
"2021-03-31","State","Massachusetts","25","Total","Total","2362261.00000","1307031.00000","6892503.00000","0.34272904923","0.18963082062","3611067.00000","4270280.00000","CDC State and National Vaccination Data","2021-04-01T09:25:23.029Z"
"2021-02-28","State","Massachusetts","25","Total","Total","1230781.00000","500616.00000","6892503.00000","0.17856807607","0.07263195968","1735916.00000","2091730.00000","CDC State and National Vaccination Data","2021-03-01T08:25:19.651Z"
"2021-05-05","State","Pennsylvania","42","Total","Total","6550777.00000","4363781.00000","12801989.00000","0.51169993975","0.34086742302","10531067.00000","13140145.00000","CDC State and National Vaccination Data","2021-05-06T13:25:20.541Z"
"2021-04-24","State","Pennsylvania","42","Total","Total","6011913.00000","3776497.00000","12801989.00000","0.46960773049","0.29499298898","9430907.00000","11822805.00000","CDC State and National Vaccination Data","2021-04-25T09:25:24.298Z"
"2021-04-22","State","Pennsylvania","42","Total","Total","5796239.00000","3566747.00000","12801989.00000","0.45276081709","0.27860881618","9007319.00000","11398645.00000","CDC State and National Vaccination Data","2021-04-23T09:25:25.930Z"
"2021-04-12","State","Pennsylvania","42","Total","Total","5059892.00000","2911810.00000","12801989.00000","0.39524264550","0.22744981268","7687290.00000","9542955.00000","CDC State and National Vaccination Data","2021-04-13T09:25:23.488Z"
"2021-03-20","State","Pennsylvania","42","Total","Total","3124834.00000","1596830.00000","12801989.00000","0.24408972699","0.12473296142","4637450.00000","6257455.00000","CDC State and National Vaccination Data","2021-03-21T09:25:45.604Z"
"2021-03-19","State","Pennsylvania","42","Total","Total","3104875.00000","1587925.00000","12801989.00000","0.24253067238","0.12403736638","4612975.00000","6017065.00000","CDC State and National Vaccination Data","2021-03-20T09:25:36.418Z"
"2021-01-27","State","Pennsylvania","42","Total","Total","693731.00000","156798.00000","12801989.00000","0.05418931386","0.01224794053","851980.00000","1817925.00000","CDC State and National Vaccination Data","2021-02-01T12:28:33.972Z"
"2021-03-26","State","Pennsylvania","42","Total","Total","3739501.00000","1899063.00000","12801989.00000","0.29210312554","0.14834124604","5516639.00000","6947385.00000","CDC State and National Vaccination Data","2021-03-27T09:25:23.431Z"
"2021-05-22","State","Missouri","29","Total","Total","2525528.00000","2048498.00000","6137428.00000","0.41149615116","0.33377141043","4556699.00000","5813565.00000","CDC State and National Vaccination Data","2021-05-23T09:25:22.233Z"
"2021-04-24","State","Missouri","29","Total","Total","2195260.00000","1545823.00000","6137428.00000","0.35768403312","0.25186820929","3729759.00000","5095385.00000","CDC State and National Vaccination Data","2021-04-25T09:25:24.298Z"
"2021-02-26","State","Missouri","29","Total","Total","802802.00000","399851.00000","6137428.00000","0.13080430434","0.06514960338","1213449.00000","1670085.00000","CDC State and National Vaccination Data","2021-02-27T08:25:21.188Z"
"2021-01-30","State","Missouri","29","Total","Total","313161.00000","92389.00000","6137428.00000","0.05102479410","0.01505337415","408441.00000","835400.00000","CDC State and National Vaccination Data","2021-01-31T08:25:27.592Z"
"2021-06-08","State","Rhode Island","44","Total","Total","658185.00000","567659.00000","1059361.00000","0.62130378596","0.53585038528","1193937.00000","1487925.00000","CDC State and National Vaccination Data","2021-06-09T13:25:33.926Z"
"2021-05-18","State","Rhode Island","44","Total","Total","607256.00000","505752.00000","1059361.00000","0.57322857836","0.47741232686","1083323.00000","1359095.00000","CDC State and National Vaccination Data","2021-05-19T09:25:11.206Z"
"2021-05-14","State","Rhode Island","44","Total","Total","593817.00000","471623.00000","1059361.00000","0.56054262900","0.44519573592","1035263.00000","1350905.00000","CDC State and National Vaccination Data","2021-05-15T09:25:22.293Z"
"2021-05-11","State","Rhode Island","44","Total","Total","587319.00000","450262.00000","1059361.00000","0.55440874263","0.42503169363","1006992.00000","1307655.00000","CDC State and National Vaccination Data","2021-05-12T09:25:10.279Z"
"2021-04-21","State","Rhode Island","44","Total","Total","495955.00000","345231.00000","1059361.00000","0.46816429904","0.32588607661","807630.00000","983725.00000","CDC State and National Vaccination Data","2021-04-22T09:25:29.436Z"
"2021-03-18","State","Rhode Island","44","Total","Total","290175.00000","128504.00000","1059361.00000","0.27391512431","0.12130331398","411715.00000","504675.00000","CDC State and National Vaccination Data","2021-03-19T09:26:17.278Z"
"2021-03-03","State","Rhode Island","44","Total","Total","200683.00000","81944.00000","1059361.00000","0.18943778372","0.07735229067","282767.00000","351515.00000","CDC State and National Vaccination Data","2021-03-04T08:25:36.507Z"
"2021-02-11","State","Rhode Island","44","Total","Total","89723.00000","38158.00000","1059361.00000","0.08469539656","0.03601982705","127931.00000","211650.00000","CDC State and National Vaccination Data","2021-02-12T08:25:18.724Z"
"2021-02-02","State","Rhode Island","44","Total","Total","73486.00000","26027.00000","1059361.00000","0.06936823236","0.02456858427","99541.00000","176150.00000","CDC State and National Vaccination Data","2021-02-03T08:25:20.455Z"
"2021-01-24","State","Rhode Island","44","Total","Total","54287.00000","13260.00000","1059361.00000","0.05124504300","0.01251697958","67566.00000","149225.00000","CDC State and National Vaccination Data","2021-02-01T12:25:30.691Z"
"2021-06-10","State","Utah","49","Total","Total","1475994.00000","1078369.00000","3205958.00000","0.46039093463","0.33636404469","2646617.00000","3160420.00000","CDC State and National Vaccination Data","2021-06-11T13:25:22.585Z"
"2021-05-20","State","Utah","49","Total","Total","1394033.00000","979914.00000","3205958.00000","0.43482572136","0.30565403539","2473783.00000","3009440.00000","CDC State and National Vaccination Data","2021-05-21T17:25:10.208Z"
"2021-04-04","State","Utah","49","Total","Total","899434.00000","418702.00000","3205958.00000","0.28055077453","0.13060121187","1466600.00000","1733400.00000","CDC State and National Vaccination Data","2021-04-05T09:25:39.489Z"
"2021-01-25","State","Utah","49","Total","Total","195221.00000","25693.00000","3205958.00000","0.06089318700","0.00801414117","229007.00000","341725.00000","CDC State and National Vaccination Data","2021-02-01T12:26:41.382Z"
"2021-05-07","State","Rhode Island","44","Total","Total","574599.00000","424191.00000","1059361.00000","0.54240150430","0.40042157489","968436.00000","1257465.00000","CDC State and National Vaccination Data","2021-05-08T09:25:25.731Z"
"2021-06-08","State","Maryland","24","Total","Total","3540416.00000","3023139.00000","6045680.00000","0.58561088248","0.50004945680","6324288.00000","8183720.00000","CDC State and National Vaccination Data","2021-06-09T13:25:33.926Z"
"2021-05-17","State","Maryland","24","Total","Total","3231842.00000","2575259.00000","6045680.00000","0.53457047015","0.42596680605","5588658.00000","7154150.00000","CDC State and National Vaccination Data","2021-05-18T09:25:22.041Z"
"2021-04-28","State","Maryland","24","Total","Total","2874422.00000","1987755.00000","6045680.00000","0.47545056966","0.32878931733","4672656.00000","5750030.00000","CDC State and National Vaccination Data","2021-04-29T09:25:15.234Z"
"2021-04-13","State","Maryland","24","Total","Total","2386663.00000","1498232.00000","6045680.00000","0.39477163859","0.24781860767","3689020.00000","4614670.00000","CDC State and National Vaccination Data","2021-04-14T09:25:22.702Z"
"2021-04-11","State","Maryland","24","Total","Total","2323927.00000","1435290.00000","6045680.00000","0.38439464212","0.23740753728","3581978.00000","4475360.00000","CDC State and National Vaccination Data","2021-04-12T09:26:37.000Z"
"2021-03-25","State","Maryland","24","Total","Total","1671238.00000","896207.00000","6045680.00000","0.27643507430","0.14823923860","2464830.00000","3256200.00000","CDC State and National Vaccination Data","2021-03-26T09:26:54.453Z"
"2021-02-18","State","Maryland","24","Total","Total","664228.00000","265183.00000","6045680.00000","0.10986820341","0.04386322134","930567.00000","1249925.00000","CDC State and National Vaccination Data","2021-02-19T12:25:26.212Z"
"2021-01-25","State","Maryland","24","Total","Total","311148.00000","39259.00000","6045680.00000","0.05146617089","0.00649372775","350835.00000","742175.00000","CDC State and National Vaccination Data","2021-02-01T12:26:11.786Z"
"2021-01-24","State","Maryland","24","Total","Total","300609.00000","37507.00000","6045680.00000","0.04972294266","0.00620393405","338544.00000","742175.00000","CDC State and National Vaccination Data","2021-02-01T12:25:12.164Z"
"2021-06-09","State","Michigan","26","Total","Total","4958705.00000","4349940.00000","9986857.00000","0.49652308028","0.43556646500","8915473.00000","11390780.00000","CDC State and National Vaccination Data","2021-06-10T13:25:23.153Z"
"2021-06-02","State","Michigan","26","Total","Total","4885204.00000","4220506.00000","9986857.00000","0.48916330733","0.42260603111","8720932.00000","11231440.00000","CDC State and National Vaccination Data","2021-06-03T09:25:18.807Z"
"2021-05-28","State","Michigan","26","Total","Total","4831559.00000","4159326.00000","9986857.00000","0.48379174749","0.41647997964","8611623.00000","11171790.00000","CDC State and National Vaccination Data","2021-05-29T09:25:27.394Z"
"2021-04-30","State","Michigan","26","Total","Total","4253463.00000","3180171.00000","9986857.00000","0.42590606835","0.31843561994","7118239.00000","9418050.00000","CDC State and National Vaccination Data","2021-05-01T13:25:22.318Z"
"2021-04-23","State","Michigan","26","Total","Total","4028963.00000","2830069.00000","9986857.00000","0.40342652348","0.28337934547","6554194.00000","8633580.00000","CDC State and National Vaccination Data","2021-04-24T09:25:15.070Z"
"2021-04-22","State","Michigan","26","Total","Total","3977656.00000","2765862.00000","9986857.00000","0.39828907133","0.27695019564","6440845.00000","8545180.00000","CDC State and National Vaccination Data","2021-04-23T09:25:25.930Z"
"2021-04-19","State","Michigan","26","Total","Total","3879065.00000","2623298.00000","9986857.00000","0.38841699646","0.26267503380","6202312.00000","7872710.00000","CDC State and National Vaccination Data","2021-04-20T13:25:13.813Z"
"2021-04-11","State","Michigan","26","Total","Total","3491441.00000","2248768.00000","9986857.00000","0.34960358399","0.22517274454","5496030.00000","7025100.00000","CDC State and National Vaccination Data","2021-04-12T09:26:37.000Z"
"2021-02-17","State","Michigan","26","Total","Total","1136393.00000","526520.00000","9986857.00000","0.11378885269","0.05272129159","1680901.00000","2146125.00000","CDC State and National Vaccination Data","2021-02-18T08:25:13.866Z"
"2021-01-31","State","Michigan","26","Total","Total","772944.00000","190777.00000","9986857.00000","0.07739612172","0.01910280682","977030.00000","1362600.00000","CDC State and National Vaccination Data","2021-02-01T08:25:16.627Z"
"2021-06-14","State","Minnesota","27","Total","Total","3144254.00000","2755620.00000","5639632.00000","0.55752822170","0.48861698778","5642194.00000","6438580.00000","CDC State and National Vaccination Data","2021-06-15T09:25:22.910Z"
"2021-06-11","State","Minnesota","27","Total","Total","3125093.00000","2702551.00000","5639632.00000","0.55413065959","0.47920697663","5571921.00000","6421650.00000","CDC State and National Vaccination Data","2021-06-12T13:25:18.929Z"
"2021-05-25","State","Minnesota","27","Total","Total","3008018.00000","2518108.00000","5639632.00000","0.53337132636","0.44650218312","5280207.00000","6158810.00000","CDC State and National Vaccination Data","2021-05-26T09:25:20.887Z"
"2021-04-12","State","Minnesota","27","Total","Total","2219065.00000","1468594.00000","5639632.00000","0.39347691481","0.26040599812","3496194.00000","3777940.00000","CDC State and National Vaccination Data","2021-04-13T09:25:23.488Z"
"2021-04-10","State","Minnesota","27","Total","Total","2097594.00000","1359032.00000","5639632.00000","0.37193809809","0.24097884401","3312268.00000","3777940.00000","CDC State and National Vaccination Data","2021-04-11T13:27:20.962Z"
"2021-03-04","State","Minnesota","27","Total","Total","1005910.00000","501368.00000","5639632.00000","0.17836447485","0.08890083608","1512877.00000","1861010.00000","CDC State and National Vaccination Data","2021-03-05T12:25:19.971Z"
"2021-02-09","State","Minnesota","27","Total","Total","541133.00000","160794.00000","5639632.00000","0.09595182806","0.02851143479","745290.00000","975850.00000","CDC State and National Vaccination Data","2021-02-10T08:25:20.460Z"
"2021-06-08","State","New Jersey","34","Total","Total","5485974.00000","4510374.00000","8882190.00000","0.61763754209","0.50779976560","9389685.00000","11178885.00000","CDC State and National Vaccination Data","2021-06-09T13:25:33.926Z"
"2021-05-26","State","New Jersey","34","Total","Total","5241897.00000","4226392.00000","8882190.00000","0.59015817045","0.47582769565","8890965.00000","10738395.00000","CDC State and National Vaccination Data","2021-05-27T09:25:29.970Z"
"2021-05-19","State","New Jersey","34","Total","Total","5055013.00000","4010836.00000","8882190.00000","0.56911786395","0.45155935642","8508720.00000","10294265.00000","CDC State and National Vaccination Data","2021-05-20T09:25:24.524Z"
"2021-05-11","State","New Jersey","34","Total","Total","4858702.00000","3715081.00000","8882190.00000","0.54701622010","0.41826182507","8043316.00000","9570595.00000","CDC State and National Vaccination Data","2021-05-12T09:25:10.279Z"
"2021-02-21","State","New Jersey","34","Total","Total","1172226.00000","510377.00000","8882190.00000","0.13197488457","0.05746071633","1689031.00000","1917150.00000","CDC State and National Vaccination Data","2021-02-22T08:25:20.440Z"
"2021-02-04","State","New Jersey","34","Total","Total","703957.00000","145570.00000","8882190.00000","0.07925489097","0.01638897614","851721.00000","1433750.00000","CDC State and National Vaccination Data","2021-02-05T12:25:17.975Z"
"2021-02-01","State","New Jersey","34","Total","Total","680591.00000","127552.00000","8882190.00000","0.07662423344","0.01436042237","810293.00000","1232525.00000","CDC State and National Vaccination Data","2021-02-02T12:25:34.606Z"
"2021-04-01","State","New York State","36","Total","Total","6110874.00000","3362056.00000","19453561.00000","0.31412624146","0.17282470803","9393484.00000","12177725.00000","CDC State and National Vaccination Data","2021-04-02T09:26:52.096Z"
"2021-02-27","State","New York State","36","Total","Total","2595249.00000","1380104.00000","19453561.00000","0.13340740032","0.07094351517","4060431.00000","5757205.00000","CDC State and National Vaccination Data","2021-02-28T08:25:20.364Z"
"2021-01-26","State","New York State","36","Total","Total","1245215.00000","189791.00000","19453561.00000","0.06400961757","0.00975610584","1453972.00000","2401900.00000","CDC State and National Vaccination Data","2021-02-01T12:27:24.939Z"
"2021-05-10","State","North Carolina","37","Total","Total","4257200.00000","3428207.00000","10488084.00000","0.40590826694","0.32686685194","7524070.00000","10441180.00000","CDC State and National Vaccination Data","2021-05-11T09:25:28.856Z"
"2021-06-18","State","Utah","49","Total","Total","1517823.00000","1150303.00000","3205958.00000","0.47343820474","0.35880164369","2758941.00000","3189930.00000","CDC State and National Vaccination Data","2021-06-19T09:25:15.002Z"
"2021-02-17","State","Minnesota","27","Total","Total","681366.00000","240414.00000","5639632.00000","0.12081745759","0.04262937724","925182.00000","1165050.00000","CDC State and National Vaccination Data","2021-02-18T08:25:13.866Z"
"2021-05-04","State","New Jersey","34","Total","Total","4660766.00000","3354569.00000","8882190.00000","0.52473162587","0.37767363679","7518475.00000","9006975.00000","CDC State and National Vaccination Data","2021-05-05T09:25:20.283Z"
"2021-02-04","State","North Carolina","37","Total","Total","875375.00000","186914.00000","10488084.00000","0.08346376707","0.01782155826","1063474.00000","1715675.00000","CDC State and National Vaccination Data","2021-02-05T12:25:17.975Z"
"2021-06-05","State","Ohio","39","Total","Total","5419839.00000","4767496.00000","11689100.00000","0.46366606497","0.40785826112","10022956.00000","12114305.00000","CDC State and National Vaccination Data","2021-06-06T09:25:26.368Z"
"2021-05-27","State","Ohio","39","Total","Total","5294933.00000","4631720.00000","11689100.00000","0.45298038343","0.39624265341","9771216.00000","11846795.00000","CDC State and National Vaccination Data","2021-05-28T09:25:18.187Z"
"2021-05-23","State","Ohio","39","Total","Total","5216803.00000","4564584.00000","11689100.00000","0.44629637868","0.39049918300","9631415.00000","11732115.00000","CDC State and National Vaccination Data","2021-05-24T09:25:21.467Z"
"2021-05-13","State","Ohio","39","Total","Total","4957157.00000","4303920.00000","11689100.00000","0.42408371902","0.36819943366","9123816.00000","11200305.00000","CDC State and National Vaccination Data","2021-05-14T09:25:23.273Z"
"2021-04-08","State","Ohio","39","Total","Total","3900595.00000","2355045.00000","11689100.00000","0.33369506634","0.20147359506","6157849.00000","8155225.00000","CDC State and National Vaccination Data","2021-04-09T13:27:22.129Z"
"2021-04-01","State","Ohio","39","Total","Total","3464729.00000","2011920.00000","11689100.00000","0.29640682345","0.17211932484","5400664.00000","7194775.00000","CDC State and National Vaccination Data","2021-04-02T09:26:52.096Z"
"2021-03-19","State","Ohio","39","Total","Total","2646831.00000","1538853.00000","11689100.00000","0.22643582483","0.13164854437","4124492.00000","5416165.00000","CDC State and National Vaccination Data","2021-03-20T09:25:36.418Z"
"2021-03-16","State","Ohio","39","Total","Total","2466334.00000","1446823.00000","11689100.00000","0.21099434516","0.12377539759","3862956.00000","5027395.00000","CDC State and National Vaccination Data","2021-03-17T09:25:27.953Z"
"2021-02-18","State","Ohio","39","Total","Total","1343458.00000","514513.00000","11689100.00000","0.11493254399","0.04401647689","1861434.00000","2402050.00000","CDC State and National Vaccination Data","2021-02-19T12:25:26.212Z"
"2021-02-09","State","Ohio","39","Total","Total","1059251.00000","312725.00000","11689100.00000","0.09061869605","0.02675355673","1373728.00000","2070625.00000","CDC State and National Vaccination Data","2021-02-10T08:25:20.460Z"
"2021-02-08","State","Ohio","39","Total","Total","1038595.00000","306072.00000","11689100.00000","0.08885157968","0.02618439401","1346320.00000","1901750.00000","CDC State and National Vaccination Data","2021-02-09T08:25:21.339Z"
